item,category,default_label,subcategory,notes
emergency loan emi,Shopping,want,loan emi,Synthetic category mapping for training/testing.
offline outing,Education,need,outing,Synthetic category mapping for training/testing.
advance hospital,Education,need,hospital,Synthetic category mapping for training/testing.
basic doctor,Health,want,doctor,Synthetic category mapping for training/testing.
cashback shoes,Work,want,shoes,Synthetic category mapping for training/testing.
college school,Education,investment,school,Synthetic category mapping for training/testing.
local train,Investment,need,train,Synthetic category mapping for training/testing.
medical fd,Work,want,fd,Synthetic category mapping for training/testing.
client capital,Education,need,capital,Synthetic category mapping for training/testing.
home zomato,Investment,need,zomato,Synthetic category mapping for training/testing.
essential etf,Investment,need,etf,Synthetic category mapping for training/testing.
planned financial goal,Investment,need,financial goal,Synthetic category mapping for training/testing.
small books,Entertainment,need,books,Synthetic category mapping for training/testing.
essential emergency fund,Food & Dining,need,emergency fund,Synthetic category mapping for training/testing.
offline recurring deposit,Entertainment,need,recurring deposit,Synthetic category mapping for training/testing.
local pension,Shopping,need,pension,Synthetic category mapping for training/testing.
morning college,Investment,want,college,Synthetic category mapping for training/testing.
personal pharmacy,Shopping,want,pharmacy,Synthetic category mapping for training/testing.
extra portfolio,Entertainment,want,portfolio,Synthetic category mapping for training/testing.
offline rent,Shopping,investment,rent,Synthetic category mapping for training/testing.
delayed interest,Health,investment,interest,Synthetic category mapping for training/testing.
discounted dinner,Bills & Obligations,investment,dinner,Synthetic category mapping for training/testing.
regular financial goal,Health,want,financial goal,Synthetic category mapping for training/testing.
advance snacks,Health,need,snacks,Synthetic category mapping for training/testing.
work hospital,Investment,want,hospital,Synthetic category mapping for training/testing.
monthly index fund,Transport,want,index fund,Synthetic category mapping for training/testing.
extra savings,Food & Dining,need,savings,Synthetic category mapping for training/testing.
personal silver,Entertainment,investment,silver,Synthetic category mapping for training/testing.
emergency college,Health,need,college,Synthetic category mapping for training/testing.
college stocks,Transport,want,stocks,Synthetic category mapping for training/testing.
premium asset,Work,want,asset,Synthetic category mapping for training/testing.
monthly treat,Shopping,want,treat,Synthetic category mapping for training/testing.
high value snacks,Transport,want,snacks,Synthetic category mapping for training/testing.
high value movie,Bills & Obligations,need,movie,Synthetic category mapping for training/testing.
morning mall,Food & Dining,need,mall,Synthetic category mapping for training/testing.
weekly gold,Health,want,gold,Synthetic category mapping for training/testing.
repeat interest,Entertainment,investment,interest,Synthetic category mapping for training/testing.
essential tuition,Investment,investment,tuition,Synthetic category mapping for training/testing.
work rd,Work,want,rd,Synthetic category mapping for training/testing.
medical clothes,Shopping,investment,clothes,Synthetic category mapping for training/testing.
essential impulse buy,Investment,investment,impulse buy,Synthetic category mapping for training/testing.
risky groceries,Shopping,need,groceries,Synthetic category mapping for training/testing.
delayed gaming,Work,investment,gaming,Synthetic category mapping for training/testing.
safe treat,Education,want,treat,Synthetic category mapping for training/testing.
advance bus,Bills & Obligations,investment,bus,Synthetic category mapping for training/testing.
delayed zomato,Health,investment,zomato,Synthetic category mapping for training/testing.
emergency fuel,Work,investment,fuel,Synthetic category mapping for training/testing.
extra dal,Bills & Obligations,want,dal,Synthetic category mapping for training/testing.
night groceries,Food & Dining,want,groceries,Synthetic category mapping for training/testing.
planned water,Shopping,investment,water,Synthetic category mapping for training/testing.
extra clothes,Shopping,need,clothes,Synthetic category mapping for training/testing.
family saving,Work,investment,saving,Synthetic category mapping for training/testing.
online index fund,Entertainment,want,index fund,Synthetic category mapping for training/testing.
basic grocery,Shopping,need,grocery,Synthetic category mapping for training/testing.
client long term,Transport,need,long term,Synthetic category mapping for training/testing.
cashback college,Investment,want,college,Synthetic category mapping for training/testing.
work dinner,Shopping,investment,dinner,Synthetic category mapping for training/testing.
cashback medical,Health,investment,medical,Synthetic category mapping for training/testing.
emergency school,Shopping,want,school,Synthetic category mapping for training/testing.
client family support,Bills & Obligations,investment,family support,Synthetic category mapping for training/testing.
high value internet,Investment,need,internet,Synthetic category mapping for training/testing.
low cost friends,Bills & Obligations,investment,friends,Synthetic category mapping for training/testing.
repeat shoes,Transport,want,shoes,Synthetic category mapping for training/testing.
advance mall,Bills & Obligations,want,mall,Synthetic category mapping for training/testing.
emergency retirement,Education,need,retirement,Synthetic category mapping for training/testing.
office fd,Entertainment,investment,fd,Synthetic category mapping for training/testing.
safe nps,Health,investment,nps,Synthetic category mapping for training/testing.
large concert,Shopping,need,concert,Synthetic category mapping for training/testing.
online milk,Work,want,milk,Synthetic category mapping for training/testing.
offline capital,Food & Dining,want,capital,Synthetic category mapping for training/testing.
extra college,Transport,investment,college,Synthetic category mapping for training/testing.
planned snacks,Bills & Obligations,investment,snacks,Synthetic category mapping for training/testing.
low cost index fund,Education,investment,index fund,Synthetic category mapping for training/testing.
high value pharmacy,Food & Dining,investment,pharmacy,Synthetic category mapping for training/testing.
large gold,Health,investment,gold,Synthetic category mapping for training/testing.
monthly dinner,Shopping,investment,dinner,Synthetic category mapping for training/testing.
home dividend,Bills & Obligations,investment,dividend,Synthetic category mapping for training/testing.
discounted college,Education,investment,college,Synthetic category mapping for training/testing.
weekly sip,Entertainment,need,sip,Synthetic category mapping for training/testing.
planned concert,Work,want,concert,Synthetic category mapping for training/testing.
cashback nps,Health,need,nps,Synthetic category mapping for training/testing.
small retirement,Bills & Obligations,investment,retirement,Synthetic category mapping for training/testing.
weekly portfolio,Investment,need,portfolio,Synthetic category mapping for training/testing.
recurring interest,Health,investment,interest,Synthetic category mapping for training/testing.
extra mutual fund,Entertainment,want,mutual fund,Synthetic category mapping for training/testing.
risky college,Shopping,investment,college,Synthetic category mapping for training/testing.
essential deposit,Bills & Obligations,want,deposit,Synthetic category mapping for training/testing.
emergency index fund,Investment,need,index fund,Synthetic category mapping for training/testing.
delayed capital,Food & Dining,investment,capital,Synthetic category mapping for training/testing.
large shoes,Bills & Obligations,need,shoes,Synthetic category mapping for training/testing.
essential treat,Bills & Obligations,investment,treat,Synthetic category mapping for training/testing.
low cost shoes,Food & Dining,need,shoes,Synthetic category mapping for training/testing.
high value clothes,Work,need,clothes,Synthetic category mapping for training/testing.
work dal,Investment,investment,dal,Synthetic category mapping for training/testing.
safe capital,Health,want,capital,Synthetic category mapping for training/testing.
essential internet,Transport,want,internet,Synthetic category mapping for training/testing.
basic dal,Shopping,want,dal,Synthetic category mapping for training/testing.
work crypto,Investment,want,crypto,Synthetic category mapping for training/testing.
cashback rd,Work,investment,rd,Synthetic category mapping for training/testing.
offline deposit,Entertainment,need,deposit,Synthetic category mapping for training/testing.
festival sip,Bills & Obligations,investment,sip,Synthetic category mapping for training/testing.
offline pizza,Entertainment,investment,pizza,Synthetic category mapping for training/testing.
first time vacation,Health,investment,vacation,Synthetic category mapping for training/testing.
cashback retirement,Education,need,retirement,Synthetic category mapping for training/testing.
subscription vegetables,Education,need,vegetables,Synthetic category mapping for training/testing.
weekly wealth,Transport,investment,wealth,Synthetic category mapping for training/testing.
subscription tuition,Health,want,tuition,Synthetic category mapping for training/testing.
safe portfolio,Investment,need,portfolio,Synthetic category mapping for training/testing.
extra long term,Bills & Obligations,want,long term,Synthetic category mapping for training/testing.
risky fees,Work,need,fees,Synthetic category mapping for training/testing.
monthly internet,Entertainment,need,internet,Synthetic category mapping for training/testing.
recurring savings,Transport,want,savings,Synthetic category mapping for training/testing.
high value family support,Education,want,family support,Synthetic category mapping for training/testing.
safe pharmacy,Bills & Obligations,need,pharmacy,Synthetic category mapping for training/testing.
college shoes,Bills & Obligations,investment,shoes,Synthetic category mapping for training/testing.
subscription dal,Work,need,dal,Synthetic category mapping for training/testing.
regular trip,Investment,investment,trip,Synthetic category mapping for training/testing.
emergency fixed deposit,Education,need,fixed deposit,Synthetic category mapping for training/testing.
morning gold,Education,need,gold,Synthetic category mapping for training/testing.
medical nps,Food & Dining,investment,nps,Synthetic category mapping for training/testing.
cashback zomato,Food & Dining,need,zomato,Synthetic category mapping for training/testing.
regular shoes,Investment,investment,shoes,Synthetic category mapping for training/testing.
recurring vegetables,Health,want,vegetables,Synthetic category mapping for training/testing.
planned pension,Shopping,want,pension,Synthetic category mapping for training/testing.
risky electricity,Work,investment,electricity,Synthetic category mapping for training/testing.
weekly capital,Bills & Obligations,want,capital,Synthetic category mapping for training/testing.
cashback impulse buy,Food & Dining,want,impulse buy,Synthetic category mapping for training/testing.
large rice,Entertainment,want,rice,Synthetic category mapping for training/testing.
safe vegetables,Entertainment,want,vegetables,Synthetic category mapping for training/testing.
first time vegetables,Food & Dining,want,vegetables,Synthetic category mapping for training/testing.
large mutual fund,Education,investment,mutual fund,Synthetic category mapping for training/testing.
offline groceries,Shopping,investment,groceries,Synthetic category mapping for training/testing.
morning silver,Food & Dining,want,silver,Synthetic category mapping for training/testing.
emergency mutual fund,Transport,want,mutual fund,Synthetic category mapping for training/testing.
weekly rice,Entertainment,need,rice,Synthetic category mapping for training/testing.
client crypto,Entertainment,investment,crypto,Synthetic category mapping for training/testing.
planned mutual fund,Food & Dining,investment,mutual fund,Synthetic category mapping for training/testing.
large interest,Investment,want,interest,Synthetic category mapping for training/testing.
small salon,Health,need,salon,Synthetic category mapping for training/testing.
medical repair,Transport,want,repair,Synthetic category mapping for training/testing.
morning pizza,Investment,need,pizza,Synthetic category mapping for training/testing.
planned burger,Food & Dining,need,burger,Synthetic category mapping for training/testing.
subscription gas,Education,need,gas,Synthetic category mapping for training/testing.
